"DSQIVC.Code.or.Value","DSQIVC.Value.Description","DSQIVC.Count","DSQIVC.Cumulative","DSQIVC.Skip.to.Item"
"0.2363 to 6000","Range of Values",3333,3333,NA
".","Missing",4952,8285,NA
