"CIQD013.Code.or.Value","CIQD013.Value.Description","CIQD013.Count","CIQD013.Cumulative","CIQD013.Skip.to.Item"
"1","Yes",11,11,"CIQD019"
"2","No",4,15,"CIQD019"
"7","Refuse",0,15,"CIQD019"
"9","Don't know",0,15,"CIQD019"
".","Missing",763,778,""
