"LBXPDTLA.Code.or.Value","LBXPDTLA.Value.Description","LBXPDTLA.Count","LBXPDTLA.Cumulative","LBXPDTLA.Skip.to.Item"
"3.253 to 3610","Range of Values",1679,1679,NA
".","Missing",595,2274,NA
