"SXQ280.Code.or.Value","SXQ280.Value.Description","SXQ280.Count","SXQ280.Cumulative","SXQ280.Skip.to.Item"
"1","Circumcised",1174,1174,NA
"2","Uncircumcised",503,1677,NA
"7","Refused",4,1681,NA
"9","Don't know",1,1682,NA
".","Missing",3375,5057,NA
