"DSQISFAT.Code.or.Value","DSQISFAT.Value.Description","DSQISFAT.Count","DSQISFAT.Cumulative","DSQISFAT.Skip.to.Item"
"0.066 to 12","Range of Values",250,250,NA
".","Missing",8035,8285,NA
