"DR1TCOPP.Code.or.Value","DR1TCOPP.Value.Description","DR1TCOPP.Count","DR1TCOPP.Cumulative","DR1TCOPP.Skip.to.Item"
"0.025 to 47.419","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
