"AUXU1K2R.Code.or.Value","AUXU1K2R.Value.Description","AUXU1K2R.Count","AUXU1K2R.Cumulative","AUXU1K2R.Skip.to.Item"
"-10 to 115","Range of Values",2733,2733,NA
"666","No response",0,2733,NA
"888","Could not obtain",13,2746,NA
".","Missing",288,3034,NA
