"LB2BANO.Code.or.Value","LB2BANO.Value.Description","LB2BANO.Count","LB2BANO.Cumulative","LB2BANO.Skip.to.Item"
"0 to 0.5","Range of Values",551,551,NA
".","Missing",6,557,NA
