"RXDCOUNT.Code.or.Value","RXDCOUNT.Value.Description","RXDCOUNT.Count","RXDCOUNT.Cumulative","RXDCOUNT.Skip.to.Item"
"1 to 20","Range of Values",13705,13705,NA
".","Missing",5942,19647,NA
