"OPDDEXU.Code.or.Value","OPDDEXU.Value.Description","OPDDEXU.Count","OPDDEXU.Cumulative","OPDDEXU.Skip.to.Item"
"0","No",2351,2351,NA
"1","Yes",5,2356,NA
".","Missing",578,2934,NA
