"DR1IVD.Code.or.Value","DR1IVD.Value.Description","DR1IVD.Count","DR1IVD.Cumulative","DR1IVD.Skip.to.Item"
"0 to 96.8","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
