"HIQ105.Code.or.Value","HIQ105.Value.Description","HIQ105.Count","HIQ105.Cumulative","HIQ105.Skip.to.Item"
"1","Yes",950,950,NA
"2","No",113,1063,NA
".","Missing",9474,10537,NA
