"DR2TCOPP.Code.or.Value","DR2TCOPP.Value.Description","DR2TCOPP.Count","DR2TCOPP.Cumulative","DR2TCOPP.Skip.to.Item"
"0 to 46.79","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
