"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.029 to 11.9","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
