"WTMEC2YR.Code.or.Value","WTMEC2YR.Value.Description","WTMEC2YR.Count","WTMEC2YR.Cumulative","WTMEC2YR.Skip.to.Item"
"3748.417657 to 171395.2649","Range of Values",9813,9813,NA
"0","Not MEC Examined",362,10175,NA
".","Missing",0,10175,NA
