"OHD06LAS.Code.or.Value","OHD06LAS.Value.Description","OHD06LAS.Count","OHD06LAS.Cumulative","OHD06LAS.Skip.to.Item"
"0 to 14","Range of Values",2575,2575,NA
"99","Calculation cannot be determined",224,2799,NA
".","Missing",4331,7130,NA
