"DR1TSODI.Code.or.Value","DR1TSODI.Value.Description","DR1TSODI.Count","DR1TSODI.Cumulative","DR1TSODI.Skip.to.Item"
"25 to 17638","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
