"DRXTFIBE.Code.or.Value","DRXTFIBE.Value.Description","DRXTFIBE.Count","DRXTFIBE.Cumulative","DRXTFIBE.Skip.to.Item"
"0 to 145.35","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
