"RFXT059.Code.or.Value","RFXT059.Value.Description","RFXT059.Count","RFXT059.Cumulative","RFXT059.Skip.to.Item"
"504 to 513","Range of Values",33700,33700,NA
".","Missing",21,33721,NA
