"HID030B.Code.or.Value","HID030B.Value.Description","HID030B.Count","HID030B.Cumulative","HID030B.Skip.to.Item"
"1","Yes",1232,1232,NA
"2","No",6429,7661,NA
"7","Refused",16,7677,NA
"9","Don't know",59,7736,NA
".","Missing",2229,9965,NA
