"SMD641.Code.or.Value","SMD641.Value.Description","SMD641.Count","SMD641.Cumulative","SMD641.Skip.to.Item"
"0 to 30","Range of Values",1131,1131,NA
"77","Refused",0,1131,NA
"99","Don't know",1,1132,NA
".","Missing",3909,5041,NA
