"DEQ2ELSH.Code.or.Value","DEQ2ELSH.Value.Description","DEQ2ELSH.Count","DEQ2ELSH.Cumulative","DEQ2ELSH.Skip.to.Item"
"1","Present",1,1,NA
".","Missing",2991,2992,NA
