"LBDVD2LC.Code.or.Value","LBDVD2LC.Value.Description","LBDVD2LC.Count","LBDVD2LC.Cumulative","LBDVD2LC.Skip.to.Item"
"0","At or above the detection limit",1211,1211,NA
"1","Below lower detection limit",6828,8039,NA
".","Missing",1126,9165,NA
