"LB2RDW.Code.or.Value","LB2RDW.Value.Description","LB2RDW.Count","LB2RDW.Cumulative","LB2RDW.Skip.to.Item"
"11.1 to 21.9","Range of Values",551,551,NA
".","Missing",6,557,NA
