"KIQ361.Code.or.Value","KIQ361.Value.Description","KIQ361.Count","KIQ361.Cumulative","KIQ361.Skip.to.Item"
"1","Yes",998,998,NA
"2","No",365,1363,NA
"7","Refused",0,1363,NA
"9","Don't know",3,1366,NA
".","Missing",918,2284,NA
