"MCQ160B.Code.or.Value","MCQ160B.Value.Description","MCQ160B.Count","MCQ160B.Cumulative","MCQ160B.Skip.to.Item"
"1","Yes",180,180,"MCQ180B"
"2","No",4782,4962,""
"7","Refused",0,4962,""
"9","Don't know",17,4979,""
".","Missing",4843,9822,""
