"MPQ030.Code.or.Value","MPQ030.Value.Description","MPQ030.Count","MPQ030.Cumulative","MPQ030.Skip.to.Item"
"1","Yes",685,685,""
"2","No",1624,2309,"MPQ050a"
"7","Refused",0,2309,"MPQ050a"
"9","Don't know",70,2379,"MPQ050a"
".","Missing",3032,5411,""
