"CIQGPB.Code.or.Value","CIQGPB.Value.Description","CIQGPB.Count","CIQGPB.Cumulative","CIQGPB.Skip.to.Item"
"1","Yes",5,5,"CIQGPD"
"2","No",52,57,""
"7","Refused",0,57,""
"9","Don't know",0,57,""
".","Missing",721,778,""
