"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"10318.116737 to 472152.19294","Range of Values",2847,2847,""
"0","No Lab Result",447,3294,"End of Section"
".","Missing",0,3294,""
