"DR1IRET.Code.or.Value","DR1IRET.Value.Description","DR1IRET.Count","DR1IRET.Cumulative","DR1IRET.Skip.to.Item"
"0 to 26056","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
