"LBXTHG.Code.or.Value","LBXTHG.Value.Description","LBXTHG.Count","LBXTHG.Cumulative","LBXTHG.Skip.to.Item"
"0.2 to 36.26","Range of Values",4988,4988,NA
".","Missing",827,5815,NA
