"DSD128GG.Code.or.Value","DSD128GG.Value.Description","DSD128GG.Count","DSD128GG.Cumulative","DSD128GG.Skip.to.Item"
"41","FOR ANTIOXIDANTS",10,10,NA
".","Missing",8275,8285,NA
