"AUXR1K1R.Code.or.Value","AUXR1K1R.Value.Description","AUXR1K1R.Count","AUXR1K1R.Cumulative","AUXR1K1R.Skip.to.Item"
"5 to 40","Range of Values",7,7,NA
"666","No response",0,7,NA
"888","Could not obtain",0,7,NA
".","Missing",1203,1210,NA
