"SXQ727.Code.or.Value","SXQ727.Value.Description","SXQ727.Count","SXQ727.Cumulative","SXQ727.Skip.to.Item"
"0 to 100","Range of Values",1737,1737,NA
"77777","Refused",6,1743,NA
"99999","Don't know",1,1744,NA
".","Missing",3558,5302,NA
