"DUQ330.Code.or.Value","DUQ330.Value.Description","DUQ330.Count","DUQ330.Cumulative","DUQ330.Skip.to.Item"
"1","Yes",249,249,""
"2","No",411,660,"DUQ370"
"7","Refused",0,660,"DUQ370"
"9","Don't know",0,660,"DUQ370"
".","Missing",4136,4796,""
