"AUXU6KR.Code.or.Value","AUXU6KR.Value.Description","AUXU6KR.Count","AUXU6KR.Cumulative","AUXU6KR.Skip.to.Item"
"-10 to 85","Range of Values",1137,1137,NA
"666","No response",0,1137,NA
"888","Could not obtain",4,1141,NA
".","Missing",69,1210,NA
