"DBQ235A.Code.or.Value","DBQ235A.Value.Description","DBQ235A.Count","DBQ235A.Cumulative","DBQ235A.Skip.to.Item"
"0","Never",73,73,NA
"1","Rarely-less than once a week",179,252,NA
"2","Sometimes-once a week or more, but less than once a 
    day",423,675,NA
"3","Often-once a day or more",3742,4417,NA
"4","Varied",4,4421,NA
"7","Refused",0,4421,NA
"9","Don't know",45,4466,NA
".","Missing",5683,10149,NA
