"DRXTPFAT.Code.or.Value","DRXTPFAT.Value.Description","DRXTPFAT.Count","DRXTPFAT.Cumulative","DRXTPFAT.Skip.to.Item"
"0 to 105.61","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
