"DRD370PQ.Code.or.Value","DRD370PQ.Value.Description","DRD370PQ.Count","DRD370PQ.Cumulative","DRD370PQ.Skip.to.Item"
"1 to 5","Range of Values",26,26,NA
".","Missing",9736,9762,NA
