"LBXMCHSI.Code.or.Value","LBXMCHSI.Value.Description","LBXMCHSI.Count","LBXMCHSI.Cumulative","LBXMCHSI.Skip.to.Item"
"17.5 to 40.4","Range of Values",8384,8384,NA
".","Missing",795,9179,NA
