"AUXR1K1R.Code.or.Value","AUXR1K1R.Value.Description","AUXR1K1R.Count","AUXR1K1R.Cumulative","AUXR1K1R.Skip.to.Item"
"0 to 90","Range of Values",13,13,NA
"666","No response",0,13,NA
"888","Could not obtain",0,13,NA
".","Missing",1876,1889,NA
