"SSMTCNPS.Code.or.Value","SSMTCNPS.Value.Description","SSMTCNPS.Count","SSMTCNPS.Cumulative","SSMTCNPS.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
