"DS1IIODI.Code.or.Value","DS1IIODI.Value.Description","DS1IIODI.Count","DS1IIODI.Cumulative","DS1IIODI.Skip.to.Item"
"7.5 to 12500","Range of Values",1074,1074,NA
".","Missing",4296,5370,NA
