"LBX153LA.Code.or.Value","LBX153LA.Value.Description","LBX153LA.Count","LBX153LA.Cumulative","LBX153LA.Skip.to.Item"
"1.6 to 708","Range of Values",2306,2306,NA
".","Missing",241,2547,NA
