"DRD370O.Code.or.Value","DRD370O.Value.Description","DRD370O.Count","DRD370O.Cumulative","DRD370O.Skip.to.Item"
"1","Yes",97,97,""
"2","No",5192,5289,"DRD370P"
".","Missing",4049,9338,""
