"SMD093.Code.or.Value","SMD093.Value.Description","SMD093.Count","SMD093.Cumulative","SMD093.Skip.to.Item"
"1","Yes",672,672,""
"2","No",388,1060,"SMD100BR"
"3","No usual brand",27,1087,"SMAQUEX2"
"4","Rolls own",20,1107,"SMD100BR"
"7","Refused",1,1108,""
"9","Don't know",0,1108,""
".","Missing",5682,6790,""
