"CVDWDI.Code.or.Value","CVDWDI.Value.Description","CVDWDI.Count","CVDWDI.Cumulative","CVDWDI.Skip.to.Item"
"39 to 155","Range of Values",2798,2798,NA
".","Missing",1865,4663,NA
