"DMDEDUC2.Code.or.Value","DMDEDUC2.Value.Description","DMDEDUC2.Count","DMDEDUC2.Cumulative","DMDEDUC2.Skip.to.Item"
"1","Less Than 9th Grade",727,727,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",760,1487,NA
"3","High School Grad/GED or Equivalent",1269,2756,NA
"4","Some College or AA degree",1356,4112,NA
"5","College Graduate or above",915,5027,NA
"7","Refused",5,5032,NA
"9","Don't Know",9,5041,NA
".","Missing",5081,10122,NA
