"RIDRETH1.Code.or.Value","RIDRETH1.Value.Description","RIDRETH1.Count","RIDRETH1.Cumulative","RIDRETH1.Skip.to.Item"
"1","Mexican American",2776,2776,NA
"2","Other Hispanic",517,3293,NA
"3","Non-Hispanic White",4606,7899,NA
"4","Non-Hispanic Black",2681,10580,NA
"5","Other Race - Including Multi-Racial",459,11039,NA
".","Missing",0,11039,NA
