"DXXRRA.Code.or.Value","DXXRRA.Value.Description","DXXRRA.Count","DXXRRA.Cumulative","DXXRRA.Skip.to.Item"
"50.06 to 233.57","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
