"OCQ210.Code.or.Value","OCQ210.Value.Description","OCQ210.Count","OCQ210.Cumulative","OCQ210.Skip.to.Item"
"1","Yes",316,316,NA
"2","No",685,1001,NA
"7","Refused",1,1002,NA
"9","Don't know",3,1005,NA
".","Missing",5134,6139,NA
