"URDP05LC.Code.or.Value","URDP05LC.Value.Description","URDP05LC.Count","URDP05LC.Cumulative","URDP05LC.Skip.to.Item"
"0","At or above the detection limit",2705,2705,NA
"1","Below lower detection limit",41,2746,NA
".","Missing",73,2819,NA
