"DS2TPROT.Code.or.Value","DS2TPROT.Value.Description","DS2TPROT.Count","DS2TPROT.Cumulative","DS2TPROT.Skip.to.Item"
"0.03 to 70.2","Range of Values",159,159,NA
".","Missing",9654,9813,NA
