"DSQTNIAC.Code.or.Value","DSQTNIAC.Value.Description","DSQTNIAC.Count","DSQTNIAC.Cumulative","DSQTNIAC.Skip.to.Item"
"0 to 2020","Range of Values",2321,2321,NA
".","Missing",7828,10149,NA
