"DS1TCAFF.Code.or.Value","DS1TCAFF.Value.Description","DS1TCAFF.Count","DS1TCAFF.Cumulative","DS1TCAFF.Skip.to.Item"
"2 to 170","Range of Values",7,7,NA
".","Missing",9806,9813,NA
