"LBDW11LC.Code.or.Value","LBDW11LC.Value.Description","LBDW11LC.Count","LBDW11LC.Cumulative","LBDW11LC.Skip.to.Item"
"0","At or above the detection limit",964,964,NA
"1","Below lower detection limit",6406,7370,NA
"2","Above upper detection limit",0,7370,NA
".","Missing",2070,9440,NA
