"URX1TB.Code.or.Value","URX1TB.Value.Description","URX1TB.Count","URX1TB.Cumulative","URX1TB.Skip.to.Item"
"0.07 to 17.5","Range of Values",2525,2525,NA
".","Missing",87,2612,NA
