"DS2IFA.Code.or.Value","DS2IFA.Value.Description","DS2IFA.Count","DS2IFA.Cumulative","DS2IFA.Skip.to.Item"
"2 to 5000","Range of Values",1750,1750,NA
".","Missing",3776,5526,NA
