"LBDF05LC.Code.or.Value","LBDF05LC.Value.Description","LBDF05LC.Count","LBDF05LC.Cumulative","LBDF05LC.Skip.to.Item"
"0","detectable result",915,915,NA
"1","below detectable limit",953,1868,NA
".","Missing",417,2285,NA
