"WTINT2YR.Code.or.Value","WTINT2YR.Value.Description","WTINT2YR.Count","WTINT2YR.Cumulative","WTINT2YR.Skip.to.Item"
"1224.968032 to 152162.42158","Range of Values",10348,10348,NA
".","Missing",0,10348,NA
