"SMD100CO.Code.or.Value","SMD100CO.Value.Description","SMD100CO.Count","SMD100CO.Cumulative","SMD100CO.Skip.to.Item"
"1 to 22","Range of Values",1190,1190,NA
".","Missing",6338,7528,NA
