"OPDUSFS.Code.or.Value","OPDUSFS.Value.Description","OPDUSFS.Count","OPDUSFS.Cumulative","OPDUSFS.Skip.to.Item"
"0","No",3211,3211,NA
"1","Yes",9,3220,NA
".","Missing",643,3863,NA
