"DXXL3BMC.Code.or.Value","DXXL3BMC.Value.Description","DXXL3BMC.Count","DXXL3BMC.Cumulative","DXXL3BMC.Skip.to.Item"
"3.14 to 40.26","Range of Values",6570,6570,NA
".","Missing",1615,8185,NA
