"OPXDSIZE.Code.or.Value","OPXDSIZE.Value.Description","OPXDSIZE.Count","OPXDSIZE.Cumulative","OPXDSIZE.Skip.to.Item"
"0","Small",44,44,NA
"1","Average",231,275,NA
"2","Large",21,296,NA
"3","Ungradable",6,302,NA
".","Missing",2632,2934,NA
